Table ST2: Costs as percentage of GDP,,,,,,,,,,,,,,,,,,,,,,,,
,NDCs with low ambition,,,,,,,,,,,,NDCs with high ambition,,,,,,,,,,,
,Without Emissions Reductions Trading,,,,,,With Emissions Reductions Trading,,,,,,Without Emissions Reductions Trading,,,,,,With Emissions Reductions Trading,,,,,
Country,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,
Region,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std
PHL,3.03773E-05,7.43975E-05,0.000538433,0.000535071,0.003056168,0.001324355,-0.039179056,0.031479692,-0.030844165,0.027830761,-0.019143433,0.023423895,3.545434129,0.29094971,3.545434129,0.29094971,3.545434129,0.29094971,0.51307409,0.212308765,0.554888019,0.218889715,0.595131279,0.224856449
NGA,0.047983626,0.017543474,0.050348183,0.018158321,0.052790582,0.018783798,0.032696857,0.015825244,0.036311665,0.0165728,0.039831802,0.017290156,0.336903377,0.070802075,0.345628445,0.072167181,0.354503712,0.073550186,0.139078715,0.055695884,0.150533831,0.057794041,0.16169698,0.059819253
UZB,0,0,0,0,0,0,-0.177384359,0.130077219,-0.211231075,0.145924653,-0.246240628,0.161251954,0,0,0,0,0,0,-0.477394973,0.24937589,-0.541698783,0.270417217,-0.607246005,0.290718368
KWT,0.350083514,0.173506277,0.351317833,0.173951776,0.352555141,0.174397841,0.156421518,0.093793755,0.171967388,0.098833307,0.186398762,0.103562495,0.350083514,0.173506277,0.351317833,0.173951776,0.352555141,0.174397841,0.22709828,0.13071545,0.238450902,0.137184312,0.248408967,0.143563539
QAT,0.168593636,0.098562038,0.170650727,0.099496718,0.172725113,0.100436234,0.081867006,0.054751641,0.090088807,0.058364305,0.097779879,0.061827964,0.168593636,0.098562038,0.170650727,0.099496718,0.172725113,0.100436234,0.114309067,0.080031239,0.120003279,0.084781776,0.125049701,0.089453063
BGD,0,0,1.23583E-07,2.79264E-08,9.88662E-07,2.23411E-07,-0.021703246,0.016220007,-0.025067085,0.017835186,-0.028395986,0.019355453,1.40399E-05,3.43993E-05,1.87454E-05,4.56052E-05,2.50178E-05,5.87114E-05,-0.055048753,0.029642928,-0.061310569,0.031654349,-0.067491696,0.033565567
COL,0.366232644,0.201548888,0.435167871,0.22220951,0.512580414,0.243591623,0.098764393,0.071904,0.117925005,0.080011088,0.138479407,0.088149676,0.366232644,0.201548888,0.435167871,0.22220951,0.512580414,0.243591623,0.158738943,0.10044802,0.184825314,0.109933728,0.212783245,0.119511289
CHL,0.263526792,0.172285667,0.589849845,0.272860423,1.122353179,0.389037674,0.086351817,0.067013051,0.135798762,0.089445428,0.19396075,0.113585004,0.263526792,0.172285667,0.589849845,0.272860423,1.122353179,0.389037674,0.134609955,0.094209863,0.216716717,0.122851623,0.310394485,0.153528312
VEN,0,0,1.8007E-05,2.46119E-06,0.000144056,1.96895E-05,-0.015867322,0.013449775,-0.015610739,0.013582743,-0.014712182,0.013532197,0,0,1.8007E-05,2.46119E-06,0.000144056,1.96895E-05,-0.041651243,0.025101738,-0.041412873,0.025237201,-0.040296942,0.025236167
OMN,0.013398091,0.011604031,0.024201651,0.0198632,0.040188501,0.030712142,-0.012739621,0.04085919,0.003820279,0.04485532,0.025067504,0.050611566,0.013398091,0.011604031,0.024201651,0.0198632,0.040188501,0.030712142,-0.098925991,0.088215997,-0.075279258,0.090650755,-0.045257171,0.094932948
MAR,0.063540549,0.023758477,0.087440058,0.029679527,0.116802183,0.036171386,0.052706138,0.023471997,0.069639826,0.029494399,0.089045002,0.036003196,0.596592418,0.105592338,0.698690824,0.117126432,0.811880612,0.129370267,0.279397518,0.108776987,0.323095057,0.120106135,0.369683593,0.131730036
BLR,0.236138849,0.161219251,0.236138849,0.161219251,0.236138849,0.161219251,0.111520598,0.066832665,0.12187781,0.070372477,0.13135712,0.073680021,0.375259807,0.206336968,0.375259807,0.206336968,0.375259807,0.206336968,0.216615451,0.127566143,0.228854417,0.133282283,0.239856289,0.138941429
ISR,0.216515274,0.069711892,0.218520681,0.070145724,0.220538609,0.070580817,0.043830813,0.023846466,0.049030059,0.025111357,0.054048933,0.026271245,0.216515274,0.069711892,0.218520681,0.070145724,0.220538609,0.070580817,0.07311521,0.032036264,0.078775672,0.033285786,0.08419971,0.03447742
MNG,2.351447234,0.764907289,2.351447234,0.764907289,2.351447234,0.764907289,0.763248453,0.440615943,0.843301578,0.460792674,0.918715109,0.478592805,2.84600763,0.864942053,2.84600763,0.864942053,2.84600763,0.864942053,1.337610361,0.657766533,1.424212091,0.679229658,1.504676719,0.699221587
PER,0.018099844,0.028827804,0.037475941,0.046497299,0.069963665,0.068660956,0.012681787,0.024538382,0.025452097,0.031194702,0.040882516,0.038511276,0.155300637,0.111134276,0.239392079,0.143571181,0.350931715,0.179608691,0.080788921,0.06010634,0.10864908,0.070351233,0.139918381,0.0810721
SRB,0.813908635,0.604386033,0.813908635,0.604386033,0.813908635,0.604386033,0.219814038,0.163790353,0.242346068,0.175001845,0.263601847,0.185490451,0.813908635,0.604386033,0.813908635,0.604386033,0.813908635,0.604386033,0.3540316,0.251845077,0.376106033,0.265165577,0.396601682,0.277925341
BHR,0,0,4.14868E-09,5.41592E-10,3.31894E-08,4.33273E-09,-0.087662626,0.065085334,-0.103824594,0.072595187,-0.12042823,0.079815639,0,0,4.14868E-09,5.41592E-10,3.31894E-08,4.33273E-09,-0.232419919,0.119756755,-0.263340736,0.129232081,-0.294685453,0.138389579
AZE,0.030565941,0.068728651,0.030565941,0.068728651,0.030565941,0.068728651,-0.026176568,0.095357984,-0.037730794,0.107403246,-0.050372423,0.11919769,0.030565941,0.068728651,0.030565941,0.068728651,0.030565941,0.068728651,-0.143544136,0.188196575,-0.172095648,0.205118935,-0.201907014,0.221815533
