Table ST2: Costs as percentage of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha: country-splitting (main specification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NDCs with low ambition,,,,,,,,,,,,NDCs with high ambition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Without Emissions Reductions Trading,,,,,,With Emissions Reductions Trading,,,,,,Without Emissions Reductions Trading,,,,,,With Emissions Reductions Trading,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,,,,,,,,,,,,,,,,,,,,,,,
Region,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,,,,,,,,,,,,,,,,,,,,,,,
IRQ,0,0,1.38534E-13,1.70305E-14,1.10827E-12,1.36244E-13,-0.071641527,0.054844997,-0.085912374,0.061714438,-0.100733446,0.068367933,0,0,1.38534E-13,1.70305E-14,1.10827E-12,1.36244E-13,-0.201682882,0.100176086,-0.230145027,0.108843943,-0.259223201,0.117307098,,,,,,,,,,,,,,,,,,,,,,,
DZA,0.00063349,0.000614065,0.000734493,0.000696931,0.000846578,0.000786134,-0.085406882,0.063783519,-0.102685595,0.071419852,-0.120429908,0.078662119,0.070438441,0.03075055,0.072975642,0.031562543,0.075574788,0.032384249,0.021111113,0.053400612,0.010791849,0.060409334,-0.000518075,0.067863393,,,,,,,,,,,,,,,,,,,,,,,
ARG,0.091811012,0.097774431,0.112938179,0.110950498,0.137457755,0.12490744,0.055643468,0.05914265,0.068381381,0.066551428,0.082522286,0.074053818,0.091811012,0.097774431,0.112938179,0.110950498,0.137457755,0.12490744,0.070412732,0.085568862,0.086974262,0.094299402,0.105498034,0.103186953,,,,,,,,,,,,,,,,,,,,,,,
PHL,0,0,0.000297533,5.10618E-05,0.002380267,0.000408494,-0.036966114,0.029082164,-0.029531468,0.025566983,-0.018876868,0.021267008,3.545434129,0.29094971,3.545434129,0.29094971,3.545434129,0.29094971,0.493842201,0.197063414,0.535041233,0.203380474,0.574761457,0.209116289,,,,,,,,,,,,,,,,,,,,,,,
NGA,0.049961423,0.018058395,0.052391175,0.018682155,0.05489985,0.019316576,0.0316688,0.01582156,0.035379197,0.016612547,0.038998462,0.017365202,0.410005485,0.082087344,0.419952457,0.083599698,0.430059818,0.085131661,0.148109621,0.057582365,0.160721912,0.059827537,0.173033274,0.061983221,,,,,,,,,,,,,,,,,,,,,,,
UZB,0,0,0,0,0,0,-0.157196974,0.118629782,-0.188386338,0.133757795,-0.220762996,0.148421853,0,0,0,0,0,0,-0.447894999,0.222349508,-0.509484977,0.241646242,-0.572437502,0.26031558,,,,,,,,,,,,,,,,,,,,,,,
KWT,0.247394319,0.13437756,0.248365955,0.134769934,0.249340227,0.135162879,0.121787764,0.078369844,0.133868999,0.083010314,0.144959886,0.08741221,0.247394319,0.13437756,0.248365955,0.134769934,0.249340227,0.135162879,0.174452968,0.113491903,0.181561424,0.119923463,0.187397824,0.126290452,,,,,,,,,,,,,,,,,,,,,,,
QAT,0.040514674,0.03093716,0.041272501,0.031431637,0.042040357,0.031930541,0.029019402,0.03352441,0.030657454,0.036690463,0.031911556,0.039798666,0.040514674,0.03093716,0.041272501,0.031431637,0.042040357,0.031930541,0.018472632,0.058612938,0.015480062,0.063219907,0.012032183,0.067742721,,,,,,,,,,,,,,,,,,,,,,,
BGD,0,0,1.23583E-07,2.79264E-08,9.88662E-07,2.23411E-07,-0.019225504,0.014764381,-0.022323368,0.016300919,-0.025396547,0.017749234,1.78559E-07,4.37489E-07,6.25635E-07,1.20987E-06,2.00687E-06,2.33686E-06,-0.053339021,0.027193397,-0.059483265,0.029099961,-0.065560496,0.030918156,,,,,,,,,,,,,,,,,,,,,,,
COL,0.293451965,0.177589586,0.352812808,0.197314814,0.420035887,0.21781834,0.083504308,0.064111839,0.100630373,0.071752522,0.119128014,0.079444612,0.293451965,0.177589586,0.352812808,0.197314814,0.420035887,0.21781834,0.137342158,0.089889657,0.161242636,0.098749707,0.187022034,0.107711832,,,,,,,,,,,,,,,,,,,,,,,
CHL,0.190833092,0.142644788,0.459343604,0.236991191,0.916501962,0.348355598,0.069427115,0.058198288,0.114085268,0.079224684,0.16714075,0.102025096,0.190833092,0.142644788,0.459343604,0.236991191,0.916501962,0.348355598,0.108903305,0.082583414,0.186094578,0.108852434,0.27468232,0.137130297,,,,,,,,,,,,,,,,,,,,,,,
VEN,0,0,1.8007E-05,2.46119E-06,0.000144056,1.96895E-05,-0.014049506,0.01220809,-0.013805987,0.012328333,-0.012953126,0.012270889,0,0,1.8007E-05,2.46119E-06,0.000144056,1.96895E-05,-0.039083136,0.022727507,-0.038849933,0.022902375,-0.037767937,0.022960501,,,,,,,,,,,,,,,,,,,,,,,
OMN,0.003775376,0.00359613,0.008827725,0.007699111,0.017577654,0.013617056,-0.033607374,0.033805932,-0.021278339,0.031980809,-0.004408618,0.031441951,0.003775376,0.00359613,0.008827725,0.007699111,0.017577654,0.013617056,-0.137474796,0.073456506,-0.118954503,0.071291649,-0.094135924,0.070611075,,,,,,,,,,,,,,,,,,,,,,,
MAR,0.039218909,0.016806186,0.056741253,0.021930036,0.07896097,0.027657415,0.035475283,0.016066034,0.049574249,0.021349725,0.066078967,0.027187494,0.63448477,0.109936377,0.740770066,0.121736631,0.858367356,0.134267121,0.279708525,0.106337505,0.323237648,0.117183063,0.369604678,0.128285846,,,,,,,,,,,,,,,,,,,,,,,
BLR,0.190965886,0.143564714,0.190965886,0.143564714,0.190965886,0.143564714,0.093516894,0.059667674,0.102326683,0.063155925,0.11033203,0.066437717,0.336322031,0.194794592,0.336322031,0.194794592,0.336322031,0.194794592,0.195790257,0.117486553,0.206876707,0.123265788,0.21678565,0.129031225,,,,,,,,,,,,,,,,,,,,,,,
ISR,0.217982905,0.070029528,0.219997479,0.070464283,0.222024605,0.070900299,0.040753008,0.022772609,0.045821952,0.02403861,0.050725248,0.025196947,0.217982905,0.070029528,0.219997479,0.070464283,0.222024605,0.070900299,0.071081769,0.030519537,0.076719891,0.031774975,0.082132132,0.032973748,,,,,,,,,,,,,,,,,,,,,,,
MNG,2.931285796,0.881770952,2.931285796,0.881770952,2.931285796,0.881770952,0.781620876,0.459695461,0.86984662,0.482539744,0.953549157,0.502745696,3.575863815,1.006135142,3.575863815,1.006135142,3.575863815,1.006135142,1.446251113,0.677288249,1.5471295,0.700909561,1.641798001,0.722936517,,,,,,,,,,,,,,,,,,,,,,,
PER,0.003984439,0.009255995,0.01032922,0.018954742,0.024200676,0.032329595,-0.002549515,0.013642287,0.007357993,0.018742558,0.019852752,0.024826197,0.101543517,0.086138355,0.165137182,0.115269986,0.252677177,0.148202947,0.061015744,0.051627619,0.086351907,0.06096742,0.11506924,0.070798819,,,,,,,,,,,,,,,,,,,,,,,
SRB,0.90810787,0.647984743,0.90810787,0.647984743,0.90810787,0.647984743,0.215207649,0.160679824,0.238689266,0.172060905,0.260943143,0.182689816,0.90810787,0.647984743,0.90810787,0.647984743,0.90810787,0.647984743,0.360527648,0.244810972,0.384336533,0.258179732,0.406589249,0.271001411,,,,,,,,,,,,,,,,,,,,,,,
BHR,0,0,4.14868E-09,5.41592E-10,3.31894E-08,4.33273E-09,-0.077557518,0.05917912,-0.092431988,0.066311341,-0.10776608,0.073180136,0,0,4.14868E-09,5.41592E-10,3.31894E-08,4.33273E-09,-0.218161247,0.107939819,-0.24785352,0.116839674,-0.278027351,0.125485608,,,,,,,,,,,,,,,,,,,,,,,
AZE,0.030691264,0.06895276,0.030691264,0.06895276,0.030691264,0.06895276,-0.018976701,0.08761417,-0.029102908,0.099022268,-0.040308459,0.11021248,0.030691264,0.06895276,0.030691264,0.06895276,0.030691264,0.06895276,-0.133467752,0.180110653,-0.160609139,0.196802999,-0.18905253,0.21332847,,,,,,,,,,,,,,,,,,,,,,,
MMR,0.140777347,0.069502805,0.201125243,0.08558731,0.277246639,0.102561639,0.077477542,0.046730003,0.101818382,0.056756167,0.129558158,0.067317708,0.4818464,0.137907609,0.616186679,0.156247248,0.773833386,0.17468232,0.229487512,0.106377396,0.277189983,0.12077319,0.329321371,0.13555418,,,,,,,,,,,,,,,,,,,,,,,
TTO,0,0,6.76455E-06,1.11045E-06,5.41164E-05,8.88358E-06,-0.18546176,0.163174293,-0.209873432,0.178445257,-0.232792887,0.192645288,0,0,6.76455E-06,1.11045E-06,5.41164E-05,8.88358E-06,-0.515665014,0.30425475,-0.565055599,0.324542641,-0.612112484,0.343992102,,,,,,,,,,,,,,,,,,,,,,,
IRL,0.06985367,0.051376564,0.098809033,0.063838728,0.13550238,0.077143291,0.018960104,0.014522137,0.024404025,0.017198606,0.030545573,0.019968079,0.06985367,0.051376564,0.098809033,0.063838728,0.13550238,0.077143291,0.031223642,0.022127297,0.039690504,0.025504569,0.049112523,0.028960978,,,,,,,,,,,,,,,,,,,,,,,
