,,(Country) Social Cost of carbon,,CSCC-Tol,,,(National) CO2 Prices,,,,(National) CO2 Prices with 5% Ocean Weakening,,,,(National) CO2 Prices with 10% Ocean Carbon Sink Decrease,,,
,,,,,,,alpha: country-splitting (main specification),,,,alpha: country-splitting (main specification),,,,alpha: country-splitting (main specification),,,
,,DJO,,Tol ,,,Low NDCs ambition,,High NDCs ambition,,Low NDCs ambition,,High NDCs ambition,,Low NDCs ambition,,High NDCs ambition,
,,USD(2020)/tCO2,,USD(2020)/tCO2,,,USD(2020)/tCO2,,USD(2020)/tCO2,,USD(2020)/tCO2,,USD(2020)/tCO2,,USD(2020)/tCO2,,USD(2020)/tCO2,
,,Mean,Std,Mean,Std,,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std
DZA,DZA,0.330147802,0.167914322,0.102155242,0.043450625,,0.417219778,0.349561802,10.92492438,3.508573222,0.463823708,0.37744297,11.19322644,3.550351031,0.513821797,0.405229259,11.46492266,3.59190856
UGA,UGA,0.320458803,0.259550736,0.400173691,0.170128155,,0,0,11.20319468,4.65213854,0,0,11.20319468,4.65213854,0,0,11.20319468,4.65213854
EGY,EGY,0.299090455,0.136847506,0.341775188,0.146213989,,0,0,0,0,0.003411731,0.000449153,0.003411731,0.000449153,0.013646923,0.001796613,0.013646923,0.001796613
AFG,AFG,0.267910528,0.193592647,0.336531094,0.143958871,,0,0,2.39E-05,5.87E-05,0,0,2.39E-05,5.87E-05,0,0,2.39E-05,5.87E-05
NER,NER,0.248110955,0.240174509,0.237676495,0.101072254,,0,0,0,0,0,0,0,0,0,0,0,0
TZA,TZA,0.226516693,0.156612421,0.48618808,0.206970356,,0,0,0.454241524,0.796103638,1.754405517,0.366814833,3.288720875,2.153530154,7.017622068,1.467259333,9.632011261,3.464077939
BGD,BGD,0.225386301,0.105388251,1.366317328,0.584289205,,0,0,0.003513778,0.008606962,0.005734794,0.00125681,0.012228713,0.014977173,0.022939177,0.005027239,0.032413237,0.019673827
SDN,SDN,0.216636656,0.181679158,0.21153153,0.090427419,,7.180723558,3.098119194,77.14676433,9.24321712,35.15375895,6.618913777,145.9990117,13.35196354,85.01780118,9.686060497,236.7422659,20.01125927
UKR,UKR,0.192261979,0.052987927,0.154906127,0.066975377,,1.87526202,3.866063488,1.87526202,3.866063488,1.981432127,3.999931479,1.981432127,3.999931479,2.097653035,4.132647354,2.097653035,4.132647354
MOZ,MOZ,0.188330057,0.143439383,0.27547883,0.117753234,,0,0,109.7062913,18.72469892,27.32302766,5.712034278,246.2210777,40.65455378,109.2921107,22.84813711,437.3819195,74.13258653
KEN,KEN,0.184735173,0.120962114,0.372209076,0.158223886,,0,0,2.115257695,1.353015729,0.311461227,0.050287768,3.850191975,2.095335894,1.245844907,0.201151073,6.208048708,2.799842364
COD,COD,0.184300235,0.134315174,0.970817135,0.413746834,,0.687922592,0.535313818,15.70350596,4.659112923,1.252734544,0.799906638,18.32865989,5.00641616,2.027275936,1.05285784,21.16354326,5.341912493
MAR,MAR,0.179397507,0.099121413,0.103032017,0.044032538,,13.12358562,4.090681788,86.11146643,9.775640887,16.89003453,4.608901605,95.52748043,10.40079522,21.14766248,5.103304146,105.4346735,11.07578992
LBY,LBY,0.17672071,0.083243735,0.008521874,0.003526316,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFA,BFA,0.174569152,0.144322689,0.15798208,0.067517103,,0,0,0,0,0,0,0,0,0,0,0,0
OMN,OMN,0.16280489,0.081020976,0.003020103,0.001296716,,1.786241909,1.571153785,1.786241909,1.571153785,3.283609412,2.481557034,3.283609412,2.481557034,5.418829288,3.348311881,5.418829288,3.348311881
MWI,MWI,0.15118466,0.125694781,0.25892537,0.110284652,,0,0,1.804122851,1.243077373,0,0,1.804122851,1.243077373,0,0,1.804122851,1.243077373
